acpi 1.7-3
alsa-utils 1.2.8-1
android-sdk-build-tools r33.0.1-2
android-sdk-platform-tools 33.0.3-1
android-studio-canary 2022.2.1.11-1
android-tools 33.0.3-3
autoconf 2.71-1
automake 1.16.5-1
autorandr 1.13.1-1
azote 1.9.7-2
base 3-1
bash 5.1.016-1
bashtop 0.9.25-1
bat 0.22.1-1
binutils 2.40-1
bison 3.8.2-4
bluez 5.66-1
bluez-utils 5.66-1
brave-bin 1:1.47.171-1
breeze 5.26.5-1
brightnessctl 0.5.1-2
btrfs-progs 6.1.2-1
bzip2 1.0.8-5
calc 2.14.1.0-1
clang 15.0.7-1
clash 1.12.0-1
clipmenu 6.2.0-2
cockpit 283-1
coreutils 9.1-3
cpupower 6.1-1
ctags 1:5.9.20220828.0-1
cups 1:2.4.2-3
cwallpaper 0.3.2-3
darkman 1.4.0-2
dart 2.18.6-1
dashing 0.4.0-1
dialog 1:1.3_20221229-1
dmenu 5.2-1
docker 1:20.10.22-1
docker-compose 2.14.2-1
dolphin 22.12.1-1
dolphin-plugins 22.12.1-1
dosfstools 4.2-2
dxvk-bin 2.0-1
e2fsprogs 1.46.5-4
editorconfig-checker 2.7.0-1
efibootmgr 18-1
egl-wayland 2:1.1.11-2
expo-cli 6.0.8-1
fakeroot 1.30.1-1
fd 8.6.0-1
ffmpegthumbnailer 2.2.2-4
file 5.44-1
filesystem 2022.10.18-1
findutils 4.9.0-1
flex 2.6.4-3
gamemode 1.7-1
gamescope 3.11.51-1
gawk 5.2.1-1
gcc 12.2.1-1
gcc-libs 12.2.1-1
gettext 0.21.1-2
git 2.39.1-1
git-credential-manager-core-bin 2.0.877-2
glibc 2.36-7
glow 1.4.1-3
gnome-keyring 1:42.1-2
gparted 1.4.0-1
grep 3.8-2
grub 2:2.06.r415.g1a241e050-1
grub-theme-whitesur-color-4k-git 2022.10.30.r7.gc106dfb-1
gvfs 1.50.3-1
gvfs-mtp 1.50.3-1
gvfs-smb 1.50.3-1
gzip 1.12-1
inetutils 2.3-1
intel-ucode 20221108-1
iproute2 6.1.0-3
iputils 20221126-1
jdk8-openjdk 8.362.u09-1
jhead 3.06.0.1-1
jre17-openjdk 17.0.6.u10-2
kde-applications-meta 22.12-1
kde-service-menu-encfs 0.8-1
kde-service-menu-reimage 2.5-1
kimageformats 5.102.0-1
kitty 0.26.5-1
kompare 22.12.1-1
kvantum 1.0.7-1
kvantum-theme-materia 20220823-1
kwin-bismuth-bin 3.1.4-1
latte-dock 0.10.9-1
lib32-gamemode 1.7-1
libreoffice-fresh 7.4.4-1
libtool 2.4.7+4+g1ec8fa28-1
licenses 20220125-1
light 1.2.2-3
linux 6.1.6.arch1-3
linux-firmware 20221214.f3c283e-1
linux-headers 6.1.6.arch1-3
luarocks 3.9.2-1
lutris 0.5.12-2
lvm2 2.03.18-1
m4 1.4.19-1
make 4.4-1
man-pages 6.02-1
meld 3.22.0-1
mesa 22.3.3-3
mkinitcpio-firmware 1.4.0-1
mpd 0.23.12-1
nautilus 43.2-1
neovim-git 0.8.0.r1123.g4876654d4c-1
neovim-symlinks 5-1
netstat-nat 1.4.10-5
network-manager-applet 1.30.0-1
networkmanager 1.40.10-1
networkmanager-dmenu-git r165.60c12b5-1
